playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Global Top 50,Your daily update of the most played tracks right now.,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,2020-11-27,452068917,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,Jhay Cortez,,4q3ewBCX7sLwd24euuV69X,94,latin,reggaeton,trap latino,28617562,1,205090,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4
Global Top 50,Your daily update of the most played tracks right now.,7lPN2DXiMsVn7XUKtOW1CS,drivers license,2021-01-08,8303351,drivers license,Olivia Rodrigo,,,1McMsnEElThX1knmY4oliG,81,pop,post-teen pop,social media pop,343822,1,242014,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4
Global Top 50,Your daily update of the most played tracks right now.,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,2020-03-20,1837168967,After Hours,The Weeknd,,,1Xyo4u8uXC1ZmMpatF05PJ,99,canadian contemporary r&b,canadian pop,pop,27448629,0,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
Global Top 50,Your daily update of the most played tracks right now.,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),2020-07-24,703936141,Mood (feat. iann dior),24kGoldn,iann dior,,6fWVd57NKTalqvmjRd2t8Z,100,cali rap,,,668595,1,140526,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4
Global Top 50,Your daily update of the most played tracks right now.,7vrJn5hDSXRmdXoR30KgF1,BICHOTA,2020-10-23,213607414,BICHOTA,KAROL G,,,790FomKkXshlbRYZFtlgla,98,latin,reggaeton,reggaeton colombiano,14132716,1,178947,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,4
Global Top 50,Your daily update of the most played tracks right now.,35mvY5S1H3J2QZyna3TFe0,positions,2020-10-30,364191781,Positions,Ariana Grande,,,66CXWjxzNUsdJxJ2JdwvnR,99,dance pop,pop,post-teen pop,55807542,1,172325,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4
Global Top 50,Your daily update of the most played tracks right now.,31qCy5ZaophVA81wtlwLc4,Anyone,2021-01-01,29867426,Anyone,Justin Bieber,,,1uNFoZAHBGtllmzznpCI3s,91,canadian pop,pop,post-teen pop,41222799,0,190779,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4
Global Top 50,Your daily update of the most played tracks right now.,6Im9k8u9iIzKMrmV7BWtlF,34+35,2020-10-30,207735924,Positions,Ariana Grande,,,66CXWjxzNUsdJxJ2JdwvnR,97,dance pop,pop,post-teen pop,55807542,1,173711,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4
Global Top 50,Your daily update of the most played tracks right now.,7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-28,499991879,B4 The Storm,Internet Money,Gunna,Don Toliver,6MPCFvOQv5cIGfw3jODMF0,91,pop rap,rap,trap,201098,1,195429,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,4
Global Top 50,Your daily update of the most played tracks right now.,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,2020-08-20,158983860,Whoopty,CJ,,,7arQA31aZVS8yS6zUveWzb,96,,,,57629,1,123429,0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,4
Global Top 50,Your daily update of the most played tracks right now.,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,2020-11-27,138810852,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,ROSALÍA,,4q3ewBCX7sLwd24euuV69X,97,latin,reggaeton,trap latino,28617562,0,203201,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,4
Global Top 50,Your daily update of the most played tracks right now.,27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2020-11-06,108519943,F*CK LOVE (SAVAGE),The Kid LAROI,,,2tIP7SsRs7vjIcLrU85W8J,95,australian hip hop,,,1118444,1,161385,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4
Global Top 50,Your daily update of the most played tracks right now.,4saklk6nie3yiGePpBwUoc,Dynamite,2020-11-20,594996536,BE,BTS,,,3Nrfpe0tUJi4K4DXYWgMUX,94,k-pop,k-pop boy group,,27287332,0,199054,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
Global Top 50,Your daily update of the most played tracks right now.,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,2020-11-12,195721805,Therefore I Am,Billie Eilish,,,6qqNVTkY8uBg9cP3Jd7DAH,97,electropop,pop,,37710896,0,174321,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4
Global Top 50,Your daily update of the most played tracks right now.,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,2020-12-25,26557186,Good Days,SZA,,,7tYKF4w9nC0nq9CsPZTHyP,89,pop,pop rap,rap,4214239,1,279204,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4
Global Top 50,Your daily update of the most played tracks right now.,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),2020-03-27,179881862,Future Nostalgia,Dua Lipa,DaBaby,,6M2wZ9GZgrQXHCFfjv46we,86,dance pop,pop,pop dance,21976970,0,203064,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4
